smiles,yield
C(CCCO)c1ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,83
C(CCCO)c1ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,94
c1(CCC(C)O)ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.C1CCC2=NCCCN2CC1,40
c1(CCC(C)O)ccccc1.c1ccnc(c1)S(=O)(=O)F.C1CCC2=NCCCN2CC1,57
c1(CCC(C)O)ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.C1CCC2=NCCCN2CC1,52
c1(CCC(C)O)ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.C1CCC2=NCCCN2CC1,54
c1(CCC(C)O)ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.C1CCC2=NCCCN2CC1,39
c1(CCC(C)O)ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CN1CCCN2CCCN=C12,54
c1(CCC(C)O)ccccc1.c1ccnc(c1)S(=O)(=O)F.CN1CCCN2CCCN=C12,59
c1(CCC(C)O)ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CN1CCCN2CCCN=C12,69
c1(CCC(C)O)ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CN1CCCN2CCCN=C12,63
c1(CCC(C)O)ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CN1CCCN2CCCN=C12,60
c1(CCC(C)O)ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=C(N(C)C)N(C)C,41
c1(CCC(C)O)ccccc1.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,49
c1(CCC(C)O)ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,57
c1(CCC(C)O)ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,55
c1(CCC(C)O)ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=C(N(C)C)N(C)C,61
c1(CCC(C)O)ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,42
c1(CCC(C)O)ccccc1.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,53
c1(CCC(C)O)ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,60
c1(CCC(C)O)ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,51
c1(CCC(C)O)ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,65
c1(CCC(C)(O)C)ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.C1CCC2=NCCCN2CC1,0
c1(CCC(C)(O)C)ccccc1.c1ccnc(c1)S(=O)(=O)F.C1CCC2=NCCCN2CC1,4
c1(CCC(C)(O)C)ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.C1CCC2=NCCCN2CC1,2
c1(CCC(C)(O)C)ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.C1CCC2=NCCCN2CC1,4
c1(CCC(C)(O)C)ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.C1CCC2=NCCCN2CC1,9
c1(CCC(C)(O)C)ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CN1CCCN2CCCN=C12,1
c1(CCC(C)(O)C)ccccc1.c1ccnc(c1)S(=O)(=O)F.CN1CCCN2CCCN=C12,5
c1(CCC(C)(O)C)ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CN1CCCN2CCCN=C12,4
c1(CCC(C)(O)C)ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CN1CCCN2CCCN=C12,5
c1(CCC(C)(O)C)ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CN1CCCN2CCCN=C12,18
c1(CCC(C)(O)C)ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=C(N(C)C)N(C)C,0
c1(CCC(C)(O)C)ccccc1.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,0
c1(CCC(C)(O)C)ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,0
c1(CCC(C)(O)C)ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,1
c1(CCC(C)(O)C)ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=C(N(C)C)N(C)C,17
c1(CCC(C)(O)C)ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,0
c1(CCC(C)(O)C)ccccc1.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,0
c1(CCC(C)(O)C)ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1
c1(CCC(C)(O)C)ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,0
c1(CCC(C)(O)C)ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,22
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.C1CCC2=NCCCN2CC1,53
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1ccnc(c1)S(=O)(=O)F.C1CCC2=NCCCN2CC1,63
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.C1CCC2=NCCCN2CC1,63
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.C1CCC2=NCCCN2CC1,65
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.C1CCC2=NCCCN2CC1,60
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CN1CCCN2CCCN=C12,88
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1ccnc(c1)S(=O)(=O)F.CN1CCCN2CCCN=C12,84
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CN1CCCN2CCCN=C12,98
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CN1CCCN2CCCN=C12,89
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CN1CCCN2CCCN=C12,82
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=C(N(C)C)N(C)C,94
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,91
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,106
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,101
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=C(N(C)C)N(C)C,91
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,94
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,98
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,104
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,95
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,94
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1cc(ccc1S(=O)(=O)F)Cl.C1CCC2=NCCCN2CC1,53
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1ccnc(c1)S(=O)(=O)F.C1CCC2=NCCCN2CC1,68
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.C1CCC2=NCCCN2CC1,71
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.C1CCC2=NCCCN2CC1,74
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.C1CCC2=NCCCN2CC1,54
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1cc(ccc1S(=O)(=O)F)Cl.CN1CCCN2CCCN=C12,52
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1ccnc(c1)S(=O)(=O)F.CN1CCCN2CCCN=C12,68
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CN1CCCN2CCCN=C12,72
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CN1CCCN2CCCN=C12,66
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CN1CCCN2CCCN=C12,53
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=C(N(C)C)N(C)C,49
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,69
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,80
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,82
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=C(N(C)C)N(C)C,76
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,48
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,67
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,78
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,66
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,72
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1cc(ccc1S(=O)(=O)F)Cl.C1CCC2=NCCCN2CC1,6
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1ccnc(c1)S(=O)(=O)F.C1CCC2=NCCCN2CC1,13
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.C1CCC2=NCCCN2CC1,14
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.C1CCC2=NCCCN2CC1,17
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.C1CCC2=NCCCN2CC1,29
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1cc(ccc1S(=O)(=O)F)Cl.CN1CCCN2CCCN=C12,17
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1ccnc(c1)S(=O)(=O)F.CN1CCCN2CCCN=C12,26
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CN1CCCN2CCCN=C12,30
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CN1CCCN2CCCN=C12,36
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CN1CCCN2CCCN=C12,38
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=C(N(C)C)N(C)C,21
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,31
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,34
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,40
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=C(N(C)C)N(C)C,49
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,32
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,38
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,45
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,49
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,47
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1cc(ccc1S(=O)(=O)F)Cl.C1CCC2=NCCCN2CC1,43
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1ccnc(c1)S(=O)(=O)F.C1CCC2=NCCCN2CC1,54
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1cc(ccc1C(F)(F)F)S(=O)(=O)F.C1CCC2=NCCCN2CC1,54
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.C1CCC2=NCCCN2CC1,58
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.C1CCC2=NCCCN2CC1,52
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1cc(ccc1S(=O)(=O)F)Cl.CN1CCCN2CCCN=C12,72
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1ccnc(c1)S(=O)(=O)F.CN1CCCN2CCCN=C12,74
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CN1CCCN2CCCN=C12,80
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CN1CCCN2CCCN=C12,77
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CN1CCCN2CCCN=C12,65
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=C(N(C)C)N(C)C,73
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,76
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,80
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,77
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=C(N(C)C)N(C)C,56
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,66
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,75
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,67
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,73
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,46
C1CCN(C(C1)CO)CCCc1ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.C1CCC2=NCCCN2CC1,6
C1CCN(C(C1)CO)CCCc1ccccc1.c1ccnc(c1)S(=O)(=O)F.C1CCC2=NCCCN2CC1,7
C1CCN(C(C1)CO)CCCc1ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.C1CCC2=NCCCN2CC1,8
C1CCN(C(C1)CO)CCCc1ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.C1CCC2=NCCCN2CC1,8
C1CCN(C(C1)CO)CCCc1ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.C1CCC2=NCCCN2CC1,10
C1CCN(C(C1)CO)CCCc1ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CN1CCCN2CCCN=C12,21
C1CCN(C(C1)CO)CCCc1ccccc1.c1ccnc(c1)S(=O)(=O)F.CN1CCCN2CCCN=C12,18
C1CCN(C(C1)CO)CCCc1ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CN1CCCN2CCCN=C12,22
C1CCN(C(C1)CO)CCCc1ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CN1CCCN2CCCN=C12,20
C1CCN(C(C1)CO)CCCc1ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CN1CCCN2CCCN=C12,23
C1CCN(C(C1)CO)CCCc1ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=C(N(C)C)N(C)C,26
C1CCN(C(C1)CO)CCCc1ccccc1.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,17
C1CCN(C(C1)CO)CCCc1ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,28
C1CCN(C(C1)CO)CCCc1ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,27
C1CCN(C(C1)CO)CCCc1ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=C(N(C)C)N(C)C,30
C1CCN(C(C1)CO)CCCc1ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,27
C1CCN(C(C1)CO)CCCc1ccccc1.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,16
C1CCN(C(C1)CO)CCCc1ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,31
